,logFC,PValue,FDR
KCNJ15,0.05,0.88,0.99
KDM3B,0.02,0.88,0.99
KLHL23,0.021,0.88,0.99
KMT2A,-0.031,0.88,0.99
LIG4,0.021,0.88,0.99
LRRC56,-0.054,0.88,0.99
LRWD1,-0.014,0.88,0.99
MAPK8IP1,-0.027,0.88,0.99
MBTPS1,-0.013,0.88,0.99
METTL5,0.021,0.88,0.99
MOSPD2,0.021,0.88,0.99
MRFAP1L1,-0.023,0.88,0.99
MRPL33,0.016,0.88,0.99
MTARC2,-0.024,0.88,0.99
MUC3A,0.061,0.88,0.99
NAV1,0.03,0.88,0.99
NBPF15,-0.019,0.88,0.99
NDST2,0.03,0.88,0.99
NPHP3-ACAD11,0.34,0.88,0.99
NUDT8,0.03,0.88,0.99
NUP88,-0.016,0.88,0.99
OPN3,-0.018,0.88,0.99
OSBPL1A,0.019,0.88,0.99
OSCP1,0.039,0.88,0.99
P2RX4,-0.026,0.88,0.99
PAM,0.024,0.88,0.99
PDCD2,0.012,0.88,0.99
PDGFB,0.046,0.88,0.99
PDZK1IP1,0.07,0.88,0.99
PFKM,0.02,0.88,0.99
PILRA,-0.059,0.88,0.99
PLXNA4,-0.12,0.88,0.99
POP7,-0.015,0.88,0.99
PPIB,-0.017,0.88,0.99
PRDX3,-0.012,0.88,0.99
PRRT1,0.041,0.88,0.99
PSMB3,-0.02,0.88,0.99
PSORS1C1,0.067,0.88,0.99
PUF60,-0.014,0.88,0.99
QPCT,0.023,0.88,0.99
RGPD5,0.23,0.88,0.99
RIBC1,0.066,0.88,0.99
RING1,0.02,0.88,0.99
SEC16B,-0.033,0.88,0.99
SENP3,-0.015,0.88,0.99
SETD2,0.019,0.88,0.99
SH3KBP1,0.016,0.88,0.99
SLC30A5,-0.013,0.88,0.99
SLC47A1,-0.019,0.88,0.99
SLC6A20,0.079,0.88,0.99
SMYD4,0.02,0.88,0.99
SNHG32,-0.014,0.88,0.99
SNRPC,-0.013,0.88,0.99
SPR,0.014,0.88,0.99
SSR4,-0.016,0.88,0.99
SSTR5,0.095,0.88,0.99
STAT2,-0.025,0.88,0.99
STOML2,0.015,0.88,0.99
SWAP70,0.023,0.88,0.99
SYP,-0.04,0.88,0.99
TACO1,-0.017,0.88,0.99
TBC1D15,0.017,0.88,0.99
TGFBR2,-0.028,0.88,0.99
TMEM243,-0.022,0.88,0.99
TMEM254,0.027,0.88,0.99
TRIAP1,-0.023,0.88,0.99
TRMT12,0.03,0.88,0.99
TSPAN31,0.019,0.88,0.99
TST,-0.027,0.88,0.99
TTC3,0.019,0.88,0.99
TTYH3,0.02,0.88,0.99
UBA1,-0.013,0.88,0.99
VANGL1,0.014,0.88,0.99
VCL,0.018,0.88,0.99
VPS37B,-0.021,0.88,0.99
WASH6P,-0.017,0.88,0.99
WDR59,0.015,0.88,0.99
WRNIP1,-0.016,0.88,0.99
YES1,0.022,0.88,0.99
ZADH2,0.026,0.88,0.99
ZDHHC17,-0.019,0.88,0.99
ZNF248,0.031,0.88,0.99
ZNF510,0.02,0.88,0.99
ZSWIM9,-0.036,0.88,0.99
ZZZ3,0.017,0.88,0.99
ABHD15,-0.015,0.89,0.99
ACAP3,0.018,0.89,0.99
ACBD3,-0.016,0.89,0.99
ACOT11,0.025,0.89,0.99
ALKBH8,-0.021,0.89,0.99
ANK3,0.071,0.89,0.99
APOBEC3B,0.026,0.89,0.99
APOC1,-0.035,0.89,0.99
ATF6B,0.012,0.89,0.99
BAZ1B,0.019,0.89,0.99
BBS10,0.021,0.89,0.99
BCKDK,-0.019,0.89,0.99
BCR,0.022,0.89,0.99
BID,0.024,0.89,0.99
BTNL9,0.036,0.89,0.99
CA5BP1,-0.026,0.89,0.99
CCDC69,0.021,0.89,0.99
CDK5R1,-0.03,0.89,0.99
CHTOP,-0.017,0.89,0.99
CLEC2B,-0.083,0.89,0.99
COA1,0.02,0.89,0.99
CSRNP2,-0.02,0.89,0.99
DCAF1,0.019,0.89,0.99
description:translocase,-0.071,0.89,0.99
DHX30,-0.011,0.89,0.99
DLAT,-0.012,0.89,0.99
DMD,-0.069,0.89,0.99
DOK1,-0.029,0.89,0.99
DUSP18,-0.035,0.89,0.99
EEF1D,0.018,0.89,0.99
EIF4G3,0.015,0.89,0.99
ELP4,-0.018,0.89,0.99
EMILIN1,-0.045,0.89,0.99
FASTK,0.017,0.89,0.99
FBXW10,0.032,0.89,0.99
FIBCD1,-0.03,0.89,0.99
FITM2,0.017,0.89,0.99
FKBP9,-0.014,0.89,0.99
FLNA,-0.025,0.89,0.99
FYTTD1,-0.013,0.89,0.99
GASK1A,-0.017,0.89,0.99
GCAT,-0.045,0.89,0.99
GLTPD2,0.046,0.89,0.99
GNRH1,-0.058,0.89,0.99
GRIN3B,0.052,0.89,0.99
GTF2H4,0.02,0.89,0.99
GTPBP1,0.019,0.89,0.99
H2BC12,-0.014,0.89,0.99
HADHB,0.017,0.89,0.99
HIF1A,-0.016,0.89,0.99
HINT1,0.022,0.89,0.99
HNRNPR,0.016,0.89,0.99
IFITM1,-0.048,0.89,0.99
IL17RA,0.02,0.89,0.99
IRF2BP2,0.016,0.89,0.99
IRS3P,-0.077,0.89,0.99
JHY,-0.029,0.89,0.99
KCNC3,-0.062,0.89,0.99
KIAA1522,0.029,0.89,0.99
KIAA2012,-0.063,0.89,0.99
KYAT3,-0.028,0.89,0.99
LIN7A,-0.091,0.89,0.99
LMBRD2,-0.017,0.89,0.99
LRPAP1,-0.011,0.89,0.99
LYAR,-0.027,0.89,0.99
MAGEA6,-0.072,0.89,0.99
MED6,0.014,0.89,0.99
MRPL15,-0.02,0.89,0.99
MTF2,-0.019,0.89,0.99
MXRA8,-0.036,0.89,0.99
MYL12A,0.014,0.89,0.99
NDUFS5,0.022,0.89,0.99
NOSIP,0.024,0.89,0.99
NPTN,0.014,0.89,0.99
NSF,-0.024,0.89,0.99
NTS,0.069,0.89,0.99
OGG1,-0.02,0.89,0.99
PALM,0.018,0.89,0.99
PANK4,0.017,0.89,0.99
PARK7,0.014,0.89,0.99
PCDHAC1,0.077,0.89,0.99
PDE1A,-0.07,0.89,0.99
PHACTR1,0.064,0.89,0.99
PHAX,0.012,0.89,0.99
PHC1P1,-0.056,0.89,0.99
PIP4P2,0.022,0.89,0.99
PLSCR1,-0.022,0.89,0.99
PNO1,-0.013,0.89,0.99
POLR2A,-0.019,0.89,0.99
PPIP5K2,0.013,0.89,0.99
PPOX,-0.027,0.89,0.99
PROC,0.028,0.89,0.99
PSMG4,0.027,0.89,0.99
RAB1B,0.011,0.89,0.99
RABEPK,-0.015,0.89,0.99
RANBP10,0.023,0.89,0.99
RBM14,-0.012,0.89,0.99
RNF2P1,0.051,0.89,0.99
RWDD3,-0.024,0.89,0.99
SAMD9L,-0.053,0.89,0.99
SLC33A1,0.014,0.89,0.99
SLC35A4,-0.017,0.89,0.99
SLC35D1,-0.02,0.89,0.99
SLC35E4,-0.026,0.89,0.99
SLC40A1,-0.033,0.89,0.99
SNX3,0.013,0.89,0.99
SOAT1,-0.013,0.89,0.99
SPRY4,0.026,0.89,0.99
TAF15,-0.024,0.89,0.99
TASP1,0.022,0.89,0.99
THBS3,0.023,0.89,0.99
THOP1,-0.014,0.89,0.99
THYN1,0.021,0.89,0.99
TLR3,0.054,0.89,0.99
TMEM191B,-0.088,0.89,0.99
TMEM238,0.057,0.89,0.99
TOMM5,0.023,0.89,0.99
TRAF1,-0.037,0.89,0.99
TRMU,-0.014,0.89,0.99
TTC19,-0.012,0.89,0.99
UBAC1,-0.016,0.89,0.99
UBE2Q1,-0.014,0.89,0.99
UBXN8,-0.019,0.89,0.99
UTP15,-0.014,0.89,0.99
VTA1,-0.014,0.89,0.99
XAGE1A,0.053,0.89,0.99
YIPF3,-0.016,0.89,0.99
ZNF318,-0.025,0.89,0.99
ZNF319,-0.024,0.89,0.99
ZNF497,0.029,0.89,0.99
ZNF574,-0.02,0.89,0.99
ZNF641,-0.025,0.89,0.99
ZNF670,0.035,0.89,0.99
ZNF746,-0.017,0.89,0.99
ZNF829,-0.039,0.89,0.99
ADAP2,0.03,0.9,0.99
AFTPH,0.017,0.9,0.99
AGR3,0.071,0.9,0.99
AKT1S1,-0.013,0.9,0.99
ANAPC1P2,-0.026,0.9,0.99
ANO1,-0.087,0.9,0.99
APEH,0.011,0.9,0.99
APOL6,0.025,0.9,0.99
ARF5,-0.017,0.9,0.99
ARHGAP44,0.02,0.9,0.99
ARMH3,0.015,0.9,0.99
BBS1,0.035,0.9,0.99
BCL2A1,-0.075,0.9,0.99
BCLAF3,0.02,0.9,0.99
BDP1,-0.023,0.9,0.99
BTF3L4,0.014,0.9,0.99
BTN2A3P,-0.04,0.9,0.99
C19orf73,-0.048,0.9,0.99
C3orf52,-0.021,0.9,0.99
C6orf136,-0.024,0.9,0.99
CASP3,0.016,0.9,0.99
CCDC121,-0.031,0.9,0.99
CD320,-0.017,0.9,0.99
CDC37L1,0.017,0.9,0.99
CEP164,0.016,0.9,0.99
CFAP69,0.032,0.9,0.99
CLIC4,-0.015,0.9,0.99
CPM,0.027,0.9,0.99
CPSF3,-0.016,0.9,0.99
CRLS1,0.019,0.9,0.99
CYB5RL,0.023,0.9,0.99
CYP2D6,0.059,0.9,0.99
DCAF8,-0.011,0.9,0.99
DCTPP1,-0.019,0.9,0.99
DHRSX,0.015,0.9,0.99
DIRAS2,0.064,0.9,0.99
DOP1A,0.035,0.9,0.99
DPYSL4,0.024,0.9,0.99
DTX2P1,0.043,0.9,0.99
E2F3P2,-0.061,0.9,0.99
ECSIT,0.019,0.9,0.99
EIF3K,0.013,0.9,0.99
ENY2,0.018,0.9,0.99
EPN3,0.049,0.9,0.99
FBXO27,-0.026,0.9,0.99
FOXD3,-0.044,0.9,0.99
FZD3,-0.019,0.9,0.99
GDF11,-0.026,0.9,0.99
GDF15,-0.022,0.9,0.99
GLUL,-0.058,0.9,0.99
GNPTAB,0.014,0.9,0.99
HAUS7,-0.018,0.9,0.99
HNRNPH1,-0.012,0.9,0.99
HSD17B1,0.02,0.9,0.99
HSD17B14,0.026,0.9,0.99
HSF2BP,-0.048,0.9,0.99
ICOSLG,0.04,0.9,0.99
IFITM10,0.046,0.9,0.99
ILKAP,-0.015,0.9,0.99
INPP5K,-0.016,0.9,0.99
ITIH4,-0.076,0.9,0.99
IWS1,0.017,0.9,0.99
KATNAL2,0.028,0.9,0.99
KLC4,-0.022,0.9,0.99
LAMA4,0.048,0.9,0.99
LGALS2,-0.08,0.9,0.99
LIF,0.016,0.9,0.99
LRIG3,-0.021,0.9,0.99
MAPK1,-0.015,0.9,0.99
METTL25B,0.017,0.9,0.99
MFSD11,0.018,0.9,0.99
MRPL36,-0.021,0.9,0.99
MRPS31P5,-0.041,0.9,0.99
NAA25,0.015,0.9,0.99
NFU1,-0.018,0.9,0.99
NIPSNAP2,-0.014,0.9,0.99
NRBP1,-0.0094,0.9,0.99
NRDC,-0.017,0.9,0.99
NUP188,-0.017,0.9,0.99
NXT2,0.024,0.9,0.99
OAZ2,0.0099,0.9,0.99
OR5AS1,0.048,0.9,0.99
PCDHA5,0.058,0.9,0.99
PDCL3P4,-0.024,0.9,0.99
PHETA1,-0.018,0.9,0.99
PIGG,0.011,0.9,0.99
PLAAT2,0.085,0.9,0.99
PLEKHH1,0.032,0.9,0.99
PMS2P6,-0.044,0.9,0.99
POLR2B,-0.012,0.9,0.99
PPFIBP1,-0.022,0.9,0.99
PPIEL,-0.026,0.9,0.99
PPP2R5D,0.015,0.9,0.99
PRCC,-0.014,0.9,0.99
PRKAB2,0.018,0.9,0.99
PRKRA,-0.013,0.9,0.99
PTGES2,0.012,0.9,0.99
PTK7,0.036,0.9,0.99
RAB14,0.013,0.9,0.99
RAD54L2,-0.02,0.9,0.99
RBM12,0.013,0.9,0.99
RBM23,0.012,0.9,0.99
RPLP0,-0.013,0.9,0.99
RPS8,0.014,0.9,0.99
RPUSD4,0.015,0.9,0.99
RTN2,0.027,0.9,0.99
SBDS,-0.015,0.9,0.99
SKAP2,-0.014,0.9,0.99
SLC22A5,-0.015,0.9,0.99
SLC38A10,0.012,0.9,0.99
SLC7A1,-0.016,0.9,0.99
SLC7A2,0.021,0.9,0.99
SMIM19,-0.02,0.9,0.99
SNRPB2,0.013,0.9,0.99
SNX11,0.014,0.9,0.99
SOX15,0.043,0.9,0.99
SPEF2,0.031,0.9,0.99
SULT1B1,-0.026,0.9,0.99
TATDN2P2,-0.05,0.9,0.99
TCAIM,0.018,0.9,0.99
TGFB2,0.016,0.9,0.99
TNFSF13,0.036,0.9,0.99
TOMM22,0.014,0.9,0.99
TRAPPC12,0.012,0.9,0.99
TYW5,-0.019,0.9,0.99
UBXN4,0.01,0.9,0.99
UNKL,-0.013,0.9,0.99
USP10,0.013,0.9,0.99
VIRMA,0.013,0.9,0.99
VSTM4,-0.059,0.9,0.99
WDR4,-0.013,0.9,0.99
WDR97,-0.024,0.9,0.99
WRAP73,0.016,0.9,0.99
YRDC,0.015,0.9,0.99
ZBTB25,0.022,0.9,0.99
ZDHHC20,-0.017,0.9,0.99
ZNF189,-0.019,0.9,0.99
ZNF766,0.017,0.9,0.99
ZSCAN29,0.016,0.9,0.99
ZXDA,-0.025,0.9,0.99
ABHD11-AS1,-0.037,0.91,0.99
ABHD18,-0.017,0.91,0.99
ABHD2,-0.017,0.91,0.99
AIG1,0.015,0.91,0.99
ASB9,0.015,0.91,0.99
ASIC3,-0.027,0.91,0.99
ATIC,-0.014,0.91,0.99
BATF3,0.032,0.91,0.99
BCAN,0.037,0.91,0.99
BTAF1,-0.013,0.91,0.99
C2orf68,-0.013,0.91,0.99
CABCOCO1,-0.04,0.91,0.99
CAMK2G,0.011,0.91,0.99
CAMSAP1,0.018,0.91,0.99
CDC16,-0.012,0.91,0.99
CDYL,0.014,0.91,0.99
CFAP97D1,0.054,0.91,0.99
CFHR3,-0.039,0.91,0.99
CGREF1,-0.017,0.91,0.99
CHD3,-0.017,0.91,0.99
CIR1,0.015,0.91,0.99
CLCN3,-0.016,0.91,0.99
CLDND1,-0.0092,0.91,0.99
CLN5,0.013,0.91,0.99
CNOT7,-0.0098,0.91,0.99
CNTNAP3B,-0.025,0.91,0.99
COLEC12,0.047,0.91,0.99
COQ8A,0.014,0.91,0.99
CTSH,0.015,0.91,0.99
CTTNBP2,0.058,0.91,0.99
CUL5,-0.014,0.91,0.99
DENND1C,-0.036,0.91,0.99
description:C-type,0.025,0.91,0.99
description:kynurenine,-0.047,0.91,0.99
DIP2B,0.02,0.91,0.99
DMAC2,-0.011,0.91,0.99
DNAJC7,0.014,0.91,0.99
DTX3L,0.023,0.91,0.99
DYNC1H1,0.018,0.91,0.99
EDN1,0.01,0.91,0.99
EGFL8,-0.042,0.91,0.99
EXO5,0.027,0.91,0.99
EYA3,-0.022,0.91,0.99
FAM168A,-0.012,0.91,0.99
FAM219A,-0.015,0.91,0.99
FAR2,-0.038,0.91,0.99
FBXL21P,-0.031,0.91,0.99
FBXW2,-0.011,0.91,0.99
FGFBP1,-0.047,0.91,0.99
FOXC1,-0.019,0.91,0.99
FUBP3,0.012,0.91,0.99
GALNT5,0.03,0.91,0.99
GAPVD1,0.016,0.91,0.99
GET1-SH3BGR,-0.17,0.91,0.99
GFOD2,0.016,0.91,0.99
GSDMD,0.016,0.91,0.99
GTPBP2,0.013,0.91,0.99
HMGN5,-0.027,0.91,0.99
HNRNPUL2,0.019,0.91,0.99
IDH3A,-0.012,0.91,0.99
IKBIP,0.015,0.91,0.99
INTS11,0.011,0.91,0.99
ISLR,0.041,0.91,0.99
KCTD12,-0.031,0.91,0.99
KDM2A,-0.015,0.91,0.99
KNG1,-0.073,0.91,0.99
LAIR1,0.031,0.91,0.99
LBP,-0.077,0.91,0.99
LRRC40,-0.016,0.91,0.99
MAB21L3,0.014,0.91,0.99
MAST2,-0.013,0.91,0.99
MBIP,0.019,0.91,0.99
MED22,-0.01,0.91,0.99
METTL23,0.012,0.91,0.99
MFSD14C,-0.015,0.91,0.99
MRS2,0.011,0.91,0.99
MYT1L,0.04,0.91,0.99
NBEAL1,0.014,0.91,0.99
NDUFB3,0.021,0.91,0.99
NHP2,-0.009,0.91,0.99
NKX3-2,-0.065,0.91,0.99
NLGN4Y,0.032,0.91,0.99
NME7,0.016,0.91,0.99
NPC2,-0.017,0.91,0.99
NSUN2,-0.014,0.91,0.99
NUDT16L2P,0.043,0.91,0.99
NUS1,0.011,0.91,0.99
ODF3B,-0.028,0.91,0.99
PAGR1,0.012,0.91,0.99
PCSK4,-0.038,0.91,0.99
PDLIM7,0.02,0.91,0.99
PFDN5,-0.021,0.91,0.99
PIK3CD,0.022,0.91,0.99
PIN1,-0.013,0.91,0.99
PITHD1,0.015,0.91,0.99
PLAC8,0.031,0.91,0.99
PLEKHB2,-0.019,0.91,0.99
POTED,0.054,0.91,0.99
PPME1,-0.015,0.91,0.99
PPP2R3C,-0.015,0.91,0.99
PRPF8,0.014,0.91,0.99
PRR36,-0.054,0.91,0.99
PRRC2A,0.014,0.91,0.99
PTPN21,0.018,0.91,0.99
RBM41,-0.012,0.91,0.99
RIMS2,-0.066,0.91,0.99
RMDN1,-0.014,0.91,0.99
RNF13,-0.011,0.91,0.99
RNF217,-0.015,0.91,0.99
SEMA3F,-0.026,0.91,0.99
SERHL2,-0.056,0.91,0.99
SIKE1,-0.016,0.91,0.99
SLC22A18AS,-0.027,0.91,0.99
SNORC,-0.024,0.91,0.99
SSPN,-0.047,0.91,0.99
STK31,-0.03,0.91,0.99
SUB1,-0.017,0.91,0.99
SUMO2,-0.0094,0.91,0.99
THAP5,-0.012,0.91,0.99
TLR5,-0.046,0.91,0.99
TRIM44,0.015,0.91,0.99
TRIP11,-0.012,0.91,0.99
UBE2I,-0.01,0.91,0.99
UBE4A,-0.014,0.91,0.99
UPF3B,0.016,0.91,0.99
YEATS4,0.017,0.91,0.99
YIPF1,-0.021,0.91,0.99
ZBTB34,0.013,0.91,0.99
ZC3H13,0.02,0.91,0.99
ZKSCAN8,0.015,0.91,0.99
ZNF346,0.018,0.91,0.99
ZNF593,0.018,0.91,0.99
ZNF780A,0.013,0.91,0.99
ACP2,0.013,0.92,0.99
AGO3,0.017,0.92,0.99
ARAP3,-0.013,0.92,0.99
"6,00 ARL",-0.02,0.92,0.99
BAD,0.012,0.92,0.99
BANK1,-0.025,0.92,0.99
BCL9,0.017,0.92,0.99
BRCC3,0.014,0.92,0.99
BRICD5,-0.025,0.92,0.99
C10orf88B,-0.032,0.92,0.99
C9orf116,-0.021,0.92,0.99
CARMIL1,-0.014,0.92,0.99
CCDC102B,-0.045,0.92,0.99
CCDC82,0.014,0.92,0.99
CCDC96,0.028,0.92,0.99
CEMIP2,0.016,0.92,0.99
CEP104,-0.02,0.92,0.99
CEP76,-0.014,0.92,0.99
CGB7,-0.051,0.92,0.99
CNOT6L,-0.015,0.92,0.99
COA4,-0.012,0.92,0.99
COA5,-0.016,0.92,0.99
COMMD9,0.011,0.92,0.99
CREB3L1,0.045,0.92,0.99
CREBZF,-0.0083,0.92,0.99
CRTAC1,0.051,0.92,0.99
CSPG5,-0.03,0.92,0.99
CYP3A5,-0.017,0.92,0.99
DCST2,0.045,0.92,0.99
DDX31,-0.014,0.92,0.99
DDX5,0.01,0.92,0.99
description:ATPase,0.062,0.92,0.99
description:proapoptotic,0.037,0.92,0.99
DHRS12,0.033,0.92,0.99
DHX35,0.015,0.92,0.99
DLX4,-0.028,0.92,0.99
DNAJC14,-0.012,0.92,0.99
EDEM1,-0.0099,0.92,0.99
EI24,-0.0081,0.92,0.99
ELL2,-0.015,0.92,0.99
ELMO3,0.027,0.92,0.99
ELP1,0.011,0.92,0.99
EMG1,0.013,0.92,0.99
EPB41L1,0.016,0.92,0.99
ERV3-1,-0.031,0.92,0.99
EWSR1,-0.009,0.92,0.99
FBXO42,-0.015,0.92,0.99
FIP1L1,0.014,0.92,0.99
FOXO3B,0.017,0.92,0.99
FSBP,-0.021,0.92,0.99
GABRG2,-0.029,0.92,0.99
GCSH,0.015,0.92,0.99
GGACT,0.023,0.92,0.99
GGT5,-0.035,0.92,0.99
GSDME,-0.015,0.92,0.99
GTF2A1,0.013,0.92,0.99
GTF2B,0.015,0.92,0.99
GTPBP6,-0.013,0.92,0.99
HELB,0.022,0.92,0.99
HERC2,-0.015,0.92,0.99
HNRNPA1L2,0.032,0.92,0.99
HOXC11,-0.03,0.92,0.99
HS3ST3B1,0.042,0.92,0.99
IFT22,0.0099,0.92,0.99
IKBKG,-0.012,0.92,0.99
KCNT2,0.038,0.92,0.99
KCTD7,-0.016,0.92,0.99
KHDRBS3,0.049,0.92,0.99
LDOC1,-0.016,0.92,0.99
LHX8,0.046,0.92,0.99
LRRC1,-0.017,0.92,0.99
LRRK2,0.013,0.92,0.99
"8,00 LSM",-0.016,0.92,0.99
LYPD3,-0.045,0.92,0.99
MAML2,0.037,0.92,0.99
MAN1A2,0.013,0.92,0.99
MDGA1,0.035,0.92,0.99
MDH1,0.013,0.92,0.99
MGAT4A,-0.034,0.92,0.99
MRPS16,-0.0099,0.92,0.99
MTR,0.018,0.92,0.99
MYCBPAP,-0.041,0.92,0.99
MYOF,0.025,0.92,0.99
NAA15,-0.011,0.92,0.99
NAP1L4,-0.0092,0.92,0.99
NFATC2IP,-0.0088,0.92,0.99
NPIPA8,0.073,0.92,0.99
OAZ1,-0.009,0.92,0.99
PANK1,-0.02,0.92,0.99
PARP15,-0.019,0.92,0.99
"1,00 PGK",-0.0093,0.92,0.99
PIN4,0.016,0.92,0.99
PPA2,-0.014,0.92,0.99
PPP1R7,-0.011,0.92,0.99
PREP,0.011,0.92,0.99
PSMD2,-0.012,0.92,0.99
RAB8A,-0.01,0.92,0.99
RABGAP1L,0.014,0.92,0.99
RASA3,-0.016,0.92,0.99
RGS19,0.013,0.92,0.99
RHOF,-0.021,0.92,0.99
RNF144B,0.056,0.92,0.99
RPL27A,-0.011,0.92,0.99
RPL4,0.0093,0.92,0.99
RPS6,0.0094,0.92,0.99
RPS6KA3,0.013,0.92,0.99
S1PR5,-0.024,0.92,0.99
SCARA5,-0.02,0.92,0.99
SEMA6B,-0.028,0.92,0.99
SH3BGRL,-0.011,0.92,0.99
SIRT7,-0.013,0.92,0.99
SLC16A2,-0.019,0.92,0.99
SLC39A11,-0.0096,0.92,0.99
SLFN5,0.02,0.92,0.99
SMG1P2,-0.023,0.92,0.99
SNRPD3,-0.012,0.92,0.99
SNRPN,-0.0079,0.92,0.99
SORD,0.0089,0.92,0.99
SPDYE10P,0.084,0.92,0.99
SSBP4,0.015,0.92,0.99
SYNJ2BP-COX16,0.055,0.92,0.99
TBL3,0.0094,0.92,0.99
TEPSIN,0.012,0.92,0.99
TGFB1I1,-0.018,0.92,0.99
THTPA,-0.013,0.92,0.99
TIAL1,-0.0083,0.92,0.99
TMEM64,-0.012,0.92,0.99
TOMM20,0.0073,0.92,0.99
TRUB2,0.0094,0.92,0.99
TUFT1,0.022,0.92,0.99
TWIST2,0.024,0.92,0.99
UBE2V1,0.013,0.92,0.99
UEVLD,0.015,0.92,0.99
USP16,0.016,0.92,0.99
YIF1A,-0.014,0.92,0.99
ZCCHC14,0.02,0.92,0.99
ZFAND3,-0.016,0.92,0.99
ZFYVE9,-0.013,0.92,0.99
ZNF383,0.015,0.92,0.99
ZNF48,-0.011,0.92,0.99
ANKRD16,-0.014,0.93,0.99
ASH1L,-0.012,0.93,0.99
ATF7,0.011,0.93,0.99
ATP23,0.017,0.93,0.99
ATXN10,0.0068,0.93,0.99
BMP1,0.013,0.93,0.99
BPNT2,0.0069,0.93,0.99
BTF3L4P2,0.025,0.93,0.99
C1QTNF1,-0.016,0.93,0.99
CAMK2D,-0.0091,0.93,0.99
CASP7,-0.012,0.93,0.99
CCDC47,0.011,0.93,0.99
CDS1,-0.035,0.93,0.99
CHID1,0.0077,0.93,0.99
CHRNA9,0.031,0.93,0.99
CNTF,-0.042,0.93,0.99
COQ4,-0.0097,0.93,0.99
COQ6,0.0098,0.93,0.99
CPLANE1,-0.014,0.93,0.99
DDB1,0.0091,0.93,0.99
DDIT3,-0.013,0.93,0.99
description:postmeiotic,-0.072,0.93,0.99
description:pre-mRNA,-0.06,0.93,0.99
DFFB,-0.019,0.93,0.99
DNAI3,-0.026,0.93,0.99
DNAJB4,0.015,0.93,0.99
DNAJB6,-0.0074,0.93,0.99
DOCK1,-0.0098,0.93,0.99
DOCK8,0.036,0.93,0.99
DPP8,0.0096,0.93,0.99
DYNC1LI1,-0.0089,0.93,0.99
DYNLT2B,0.016,0.93,0.99
EBNA1BP2,-0.0088,0.93,0.99
EDC4,0.0084,0.93,0.99
EFL1,-0.01,0.93,0.99
EIF3J,0.0092,0.93,0.99
EMB,0.016,0.93,0.99
FAM110A,0.021,0.93,0.99
FAM91A1,-0.0074,0.93,0.99
FIS1,0.013,0.93,0.99
FNIP2,0.017,0.93,0.99
FRMPD1,0.041,0.93,0.99
GALNS,-0.0079,0.93,0.99
GALR2,0.039,0.93,0.99
GATD3B,0.0088,0.93,0.99
GCHFR,0.02,0.93,0.99
GEMIN6,0.013,0.93,0.99
GFER,0.011,0.93,0.99
GJC2,-0.039,0.93,0.99
GNPNAT1,0.007,0.93,0.99
GNRHR2,0.033,0.93,0.99
GOLT1B,-0.01,0.93,0.99
GPD2,0.0087,0.93,0.99
GREB1,-0.018,0.93,0.99
GRK2,0.0077,0.93,0.99
GSTM2,-0.019,0.93,0.99
GUK1,-0.013,0.93,0.99
H2BC5,-0.012,0.93,0.99
HDAC10,-0.015,0.93,0.99
HEY1,-0.035,0.93,0.99
HMGA2,-0.022,0.93,0.99
HOXD9,0.06,0.93,0.99
HP1BP3,0.01,0.93,0.99
HSPA5,0.011,0.93,0.99
IKBKB,-0.009,0.93,0.99
KAZN,-0.022,0.93,0.99
KCNH2,0.036,0.93,0.99
KLC3,-0.041,0.93,0.99
KTI12,0.017,0.93,0.99
LGALS3BP,-0.021,0.93,0.99
"6,00 LSM",-0.015,0.93,0.99
MAP1A,-0.032,0.93,0.99
MAP1B,-0.023,0.93,0.99
MAP3K12,0.013,0.93,0.99
MED1,0.011,0.93,0.99
MED12L,0.041,0.93,0.99
MED20,-0.013,0.93,0.99
MFSD1,-0.011,0.93,0.99
MRPL24,0.011,0.93,0.99
MRPS2,0.0089,0.93,0.99
MTRNR2L3,-0.04,0.93,0.99
NAPSA,-0.039,0.93,0.99
NBPF3,-0.011,0.93,0.99
NDUFS7,-0.012,0.93,0.99
NIFK,0.013,0.93,0.99
NIN,0.011,0.93,0.99
NPTXR,0.016,0.93,0.99
NRARP,-0.024,0.93,0.99
NRGN,-0.03,0.93,0.99
NUDT16,-0.013,0.93,0.99
OR14J1,0.03,0.93,0.99
PAAF1,0.016,0.93,0.99
PDCD10,0.017,0.93,0.99
PEX6,0.01,0.93,0.99
PGF,-0.027,0.93,0.99
PHB2,-0.0087,0.93,0.99
PIGL,0.011,0.93,0.99
PIGV,-0.013,0.93,0.99
PLG,0.036,0.93,0.99
PLPP2,-0.008,0.93,0.99
PLSCR4,-0.021,0.93,0.99
POLDIP3,0.0087,0.93,0.99
PPM1B,0.01,0.93,0.99
PRMT9,-0.017,0.93,0.99
PRUNE1,0.014,0.93,0.99
PSAT1,-0.01,0.93,0.99
PSMC4,-0.0074,0.93,0.99
R3HCC1,0.011,0.93,0.99
R3HCC1L,0.013,0.93,0.99
RBM5,0.0095,0.93,0.99
RGS5,-0.032,0.93,0.99
RNF212,0.028,0.93,0.99
RP2,0.011,0.93,0.99
RPAP1,0.012,0.93,0.99
RPS27L,-0.015,0.93,0.99
RSL24D1,0.019,0.93,0.99
SDCBP2,-0.041,0.93,0.99
SDHAP2,0.015,0.93,0.99
